fen,move_rank,move
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,"{'Move': 'd2d4', 'Centipawn': 28, 'Mate': None}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2,"{'Move': 'g1f3', 'Centipawn': 26, 'Mate': None}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3,"{'Move': 'e2e4', 'Centipawn': 25, 'Mate': None}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1,"{'Move': 'e7e5', 'Centipawn': 24, 'Mate': None}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,2,"{'Move': 'c7c6', 'Centipawn': 33, 'Mate': None}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,3,"{'Move': 'c7c5', 'Centipawn': 34, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,"{'Move': 'd2d4', 'Centipawn': 36, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,2,"{'Move': 'b1c3', 'Centipawn': 27, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,3,"{'Move': 'g1f3', 'Centipawn': 24, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,1,"{'Move': 'd7d5', 'Centipawn': 17, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,2,"{'Move': 'c7c5', 'Centipawn': 43, 'Mate': None}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,3,"{'Move': 'a7a6', 'Centipawn': 52, 'Mate': None}"
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,1,"{'Move': 'e4e5', 'Centipawn': 20, 'Mate': None}"
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,2,"{'Move': 'e4d5', 'Centipawn': 19, 'Mate': None}"
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,3,"{'Move': 'b1c3', 'Centipawn': 5, 'Mate': None}"
rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,1,"{'Move': 'e6d5', 'Centipawn': 22, 'Mate': None}"
